Date,MSFT,GFNORTEO.MX,GFINBURO.MX,CEMEXCPO.MX,GCARSOA1.MX
2012-01-01,24.824419,45.01075,24.650887,6.97848,36.28915
2012-02-01,26.682266,45.06274,23.193285,7.77669,36.748508
2012-03-01,27.297937,49.438301,24.339197,8.13708,36.840378
2012-04-01,27.094851,54.610775,26.264334,7.74255,40.423363
2012-05-01,24.700151,55.732189,27.144396,6.61651,36.766895
2012-06-01,26.054655,60.102745,27.80765,7.38091,40.158829
2012-07-01,25.100708,62.081757,32.119267,7.62748,42.535812
2012-08-01,26.250557,58.646809,33.157764,8.01379,40.149578
2012-09-01,25.515629,63.433067,33.398846,8.80284,40.824749
2012-10-01,24.469625,63.424347,32.332535,9.75627,43.830654
2012-11-01,22.823465,64.775208,33.241215,9.4686,49.146179
2012-12-01,23.0888,72.928925,36.356709,10.4385,58.243526
2013-01-01,23.728479,76.616867,33.037228,11.4001,57.479992
2013-02-01,24.031023,83.0522,33.398846,11.2768,57.722084
2013-03-01,24.935972,86.414932,33.408115,12.3536,64.109779
2013-04-01,28.849375,80.179886,32.990868,11.7023,64.538101
2013-05-01,30.418219,71.728737,27.186401,12.7622,62.508198
2013-06-01,30.315554,67.315315,26.809084,11.7621,57.166489
2013-07-01,27.945776,71.202271,28.054924,12.5827,59.505928
2013-08-01,29.31498,73.423965,26.677938,12.9674,61.742432
2013-09-01,29.415483,71.876152,28.092398,12.5314,65.429398
2013-10-01,31.298151,73.239258,31.483341,11.8476,65.682037
2013-11-01,33.702305,79.002754,32.429432,12.3519,65.76152
2013-12-01,33.316677,80.536598,34.593269,13.1127,65.328804
2014-01-01,33.699623,75.07045,31.239792,14.1299,65.70507
2014-02-01,34.118206,76.669014,29.731665,14.8223,64.971367
2014-03-01,36.778709,78.27314,31.47397,14.1043,64.613914
2014-04-01,36.249313,77.292816,31.342829,14.8729,62.553875
2014-05-01,36.733837,83.05455,33.000832,14.7218,62.770226
2014-06-01,37.679714,82.884827,36.441296,15.273,63.845295
2014-07-01,38.998959,78.481094,38.126987,14.7396,70.714249
2014-08-01,41.050098,82.400215,37.625069,15.4419,75.596313
2014-09-01,42.152081,76.787514,36.469704,15.5574,74.281181
2014-10-01,42.688526,77.333565,38.297451,14.7485,72.795738
2014-11-01,43.470474,70.73999,35.541626,15.353,74.379723
2014-12-01,42.500294,72.894516,36.062489,13.3705,69.034935
2015-01-01,36.964733,68.289246,36.602287,11.8325,62.358746
2015-02-01,40.121365,73.108154,39.755856,13.4683,64.175201
2015-03-01,37.467381,79.708496,36.479179,12.8638,60.285507
2015-04-01,44.820786,78.772018,34.689308,13.6834,60.14286
2015-05-01,43.180553,78.494667,33.306656,13.3321,61.911755
2015-06-01,40.947735,77.87162,34.116871,13.3229,62.695984
2015-07-01,43.31279,76.571358,35.036366,12.6942,70.018478
2015-08-01,40.363434,72.817062,33.858265,12.84,72.842201
2015-09-01,41.320454,74.981377,33.465569,10.9005,72.516754
2015-10-01,49.143898,80.550636,31.808575,9.6801,70.487495
2015-11-01,50.74033,81.039642,30.371872,9.71709,70.638725
2015-12-01,52.144402,86.28125,29.787615,8.71857,68.300453
2016-01-01,51.777847,85.954254,27.910324,7.58136,70.1576
2016-02-01,47.820961,83.220215,31.013601,9.24556,70.475136
2016-03-01,52.282135,88.947006,33.034557,11.6032,77.528427
2016-04-01,47.208221,89.1661,32.354519,12.2788,79.164253
2016-05-01,50.171154,88.107109,29.481119,11.2788,75.151665
2016-06-01,48.77763,93.593826,30.090748,10.8654,75.522438
2016-07-01,54.030018,94.195656,29.246264,13.7404,74.099861
2016-08-01,54.773552,92.838081,31.837952,14.9712,74.148247
2016-09-01,55.249226,94.810249,29.70248,14.7692,74.980507
2016-10-01,57.474541,103.789619,29.770428,15.7308,79.838562
2016-11-01,57.800663,91.956993,27.23698,15.3942,74.036072
2016-12-01,60.006588,95.388351,30.449896,15.9038,81.664452
2017-01-01,62.430424,93.197121,30.003387,19.26,81.537964
2017-02-01,61.783424,93.103882,27.838795,16.355801,82.948822
2017-03-01,63.98444,100.386223,30.119869,16.2981,83.639648
2017-04-01,66.510399,102.861603,30.857578,16.6539,84.194267
2017-05-01,67.851097,101.426544,29.993681,15.42,76.35183
2017-06-01,67.350868,108.941719,30.51704,17.049999,74.366898
2017-07-01,71.0345,114.231277,31.66881,17.200001,72.65686
2017-08-01,73.057076,118.006081,29.434177,16.709999,70.70929
2017-09-01,73.171272,121.548592,32.791054,16.549999,70.249321
2017-10-01,81.707436,110.127396,32.436661,15.58,60.854034
2017-11-01,82.679909,110.524239,32.407127,14.26,58.084385
2017-12-01,84.447639,104.368408,31.619591,14.7,64.469643
2018-01-01,93.796707,103.923172,33.302952,15.07,65.085251
2018-02-01,92.57254,109.527306,29.650751,12.45,65.720711
2018-03-01,90.527733,107.562462,29.621218,12.03,63.576023
2018-04-01,92.75943,113.263382,30.674547,11.7,66.723549
2018-05-01,98.036163,102.790726,27.731131,11.86,61.72921
2018-06-01,98.231979,113.311775,27.799999,13.06,66.574615
2018-07-01,105.67334,129.960007,30.700001,13.89,77.510002
2018-08-01,111.899384,130.860001,30.360001,13.53,70.699997
2018-09-01,114.370003,135.300003,29.360001,13.14,62.07
2018-10-01,115.610001,136.380005,29.719999,13.36,62.310001
