Date,GFNORTEO.MX,GFINBURO.MX,CEMEXCPO.MX,GCARSOA1.MX,KIMBERA.MX,BIMBOA.MX,ALFAA.MX
2010-01-01,36.511715,17.455875,8.7829,17.516596,12.238914,19.514021,8.023372
2010-02-01,40.561028,19.332382,8.96557,19.666124,14.198348,22.107986,8.202198
2010-03-01,46.490009,18.503229,9.30899,19.999195,14.692957,25.792648,9.263737
2010-04-01,43.550842,18.07556,10.7338,19.462833,14.965379,23.331467,9.236691
2010-05-01,43.031155,18.68215,10.595,18.377281,15.294024,22.207493,8.817235
2010-06-01,42.858467,18.735237,9.52937,18.059097,16.21629,22.21958,9.332152
2010-07-01,42.354156,20.059361,9.10382,20.865467,17.357679,23.046104,9.511506
2010-08-01,40.593315,21.895178,7.81196,25.656891,17.132395,21.886066,8.744915
2010-09-01,40.781372,22.397896,8.19191,27.843971,17.993498,22.30658,9.378437
2010-10-01,45.021053,23.982359,8.22231,31.230106,17.379021,23.007437,9.875033
2010-11-01,46.139061,24.38633,8.60227,33.890263,17.685957,24.566242,11.100613
2010-12-01,50.487919,24.35042,10.0081,34.746071,18.073135,25.479773,11.99545
2011-01-01,46.302029,23.762417,8.70866,31.698324,15.992139,24.754749,12.739863
2011-02-01,47.142658,22.815334,8.26791,35.153839,16.813049,22.768179,14.533395
2011-03-01,48.171562,24.485075,8.40104,35.93383,17.588722,24.210978,14.941279
2011-04-01,49.883984,27.555252,7.88734,40.604687,16.999203,24.554157,16.623919
2011-05-01,46.416103,27.034576,7.88734,37.004044,16.211645,26.166538,16.2777
2011-06-01,46.011497,27.460667,7.95056,35.323528,18.385798,26.370661,16.956142
2011-07-01,44.371315,25.420937,6.528,29.915098,17.517126,27.420433,16.82065
2011-08-01,43.119598,22.9641,5.26349,28.592634,17.660316,23.775393,14.697598
2011-09-01,35.384823,21.258986,3.48529,29.367878,16.884647,25.651371,13.890488
2011-10-01,39.234951,26.209328,4.60753,31.383503,18.101782,26.681707,14.997827
2011-11-01,39.993187,23.367464,5.0185,29.784666,17.800728,27.410713,15.593412
2011-12-01,36.613483,23.541643,5.84833,31.043299,19.492056,27.702316,14.825294
2012-01-01,45.01075,24.650887,6.97848,36.28915,19.004143,28.188322,16.677355
2012-02-01,45.06274,23.193285,7.77669,36.748508,18.377468,27.993921,16.76119
2012-03-01,49.438301,24.339197,8.13708,36.840378,22.034504,29.024252,17.954309
2012-04-01,54.610775,26.264334,7.74255,40.423363,20.687994,30.210104,18.375515
2012-05-01,55.732189,27.144396,6.61651,36.766895,19.410093,30.730106,17.649763
2012-06-01,60.102745,27.80765,7.38091,40.158829,20.415272,32.029251,21.023127
2012-07-01,62.081757,32.119267,7.62748,42.535812,21.662001,32.351593,21.085249
2012-08-01,58.646809,33.157764,8.01379,40.149578,21.006443,28.034142,20.611935
2012-09-01,63.433067,33.398846,8.80284,40.824749,24.238207,31.296652,23.42915
2012-10-01,63.424347,32.332535,9.75627,43.830654,24.782089,29.792379,23.813721
2012-11-01,64.775208,33.241215,9.4686,49.146179,24.94665,29.792379,26.436682
2012-12-01,72.928925,36.356709,10.4385,58.243526,26.236166,32.693478,26.998745
2013-01-01,76.616867,33.037228,11.4001,57.479992,28.603453,32.117161,30.104883
2013-02-01,83.0522,33.398846,11.2768,57.722084,32.509407,33.865635,30.647223
2013-03-01,86.414932,33.408115,12.3536,64.109779,34.647228,38.573807,29.740032
2013-04-01,80.179886,32.990868,11.7023,64.538101,33.85157,38.593342,28.070175
2013-05-01,71.728737,27.186401,12.7622,62.508198,35.384232,37.109646,30.021152
2013-06-01,67.315315,26.809084,11.7621,57.166489,33.910225,38.502602,31.09618
